A,DANGER THIS COL MISSING FROM MP3 EXPORT FILE - MAY NOT IMPORT CORRECTLY!!2,Customer ID,IMF,E,F,G,Date,I,J,K,L,M,N,O,P,Q,R,S,T,Vista Order #,Amt Ordered,Phy PT Amt Del,SCDIO QTY Delivered,Source Filename,CSV Row Reference,Page,Primary,ROW,LEFT OFF AT 3992,,"VirtualPickTicket_ & U2 & "".html"""
OLD DATA,.,644-DEN1,19933,.,.,.,4/28/2026,.,.,.,.,.,.,.,.,.,.,.,.,1773,2,2,.,VirtualPickTicket_1773.html,,,,2,,,
OLD DATA,.,644-DEN1,5545,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,50,50,.,VirtualPickTicket_1779.html,,,,3,,,
OLD DATA,.,644-DEN1,17969,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,4,0,.,VirtualPickTicket_1779.html,,,,4,,,
OLD DATA,.,644-DEN1,26897,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,5,5,.,VirtualPickTicket_1779.html,,,,5,,,
OLD DATA,.,644-DEN1,26898,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,2,1,.,VirtualPickTicket_1779.html,,,,6,,,
OLD DATA,.,644-DEN1,27186,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,1000,0,.,VirtualPickTicket_1779.html,,,,7,,,
OLD DATA,.,644-DEN1,27197,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,3,3,.,VirtualPickTicket_1779.html,,,,8,,,
OLD DATA,.,644-DEN1,31191,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,2,2,.,VirtualPickTicket_1779.html,,,,9,,,
OLD DATA,.,644-DEN1,32874,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,4,3,.,VirtualPickTicket_1779.html,,,,10,,,
OLD DATA,.,644-DEN1,34596,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,3,0,.,VirtualPickTicket_1779.html,,,,11,,,
OLD DATA,.,644-DEN1,41343,.,.,.,4/29/2026,.,.,.,.,.,.,.,.,.,.,.,.,1779,3,0,.,VirtualPickTicket_1779.html,,,,12,,,
